ORGANIZATION_ID,FIRST_PAYMENT_DATE,LAST_PAYMENT_DATE,LEGAL_ENTITY_COUNTRY_CODE,COUNT_TOTAL_CONTRACTS_ACTIVE,CREATED_DATE
1788720536941563171,2023-04-04,2024-02-27,-8419133294835872742,12,2023-03-24T20:48:11.037Z
6422567735282397562,2020-07-13,2024-03-01,1785886735892434650,208,2020-06-16T22:37:49.598Z
-4927521060721192456,2022-09-14,2024-02-26,1785886735892434650,62,2022-08-12T19:28:57.202Z
185600566507227237,2020-03-08,2024-03-01,1785886735892434650,30,2020-02-02T19:14:37.256Z
2527675633679503466,2022-12-23,2024-02-27,1785886735892434650,47,2022-12-08T05:19:02.171Z
254057117391537126,2022-03-28,2024-02-27,1785886735892434650,25,2022-02-24T19:15:25.797Z
-2159056517260692320,2021-06-14,2024-02-26,1785886735892434650,14,2021-06-10T21:27:11.245Z
-6384442615336241257,2023-05-02,2024-03-01,-4965702246054775539,85,2023-04-05T14:54:27.178Z
-5177431655166287149,2023-05-30,2024-02-26,1785886735892434650,9,2023-04-26T16:42:29.418Z
5021990441951143514,2022-06-17,2024-03-01,1785886735892434650,45,2022-04-24T20:38:24.323Z
8889238291218913343,2022-02-28,2024-02-28,1785886735892434650,9,2022-02-14T22:09:20.83Z
270093985965114114,2022-12-29,2024-02-20,1785886735892434650,6,2022-10-20T01:13:52.883Z
3798782599679331017,2022-08-01,2024-02-29,-8419133294835872742,50,2022-07-23T00:28:37.28Z
7544039682229798214,2020-02-20,2024-02-26,1785886735892434650,2,2020-02-06T03:41:27.616Z
1378396440365705226,2022-04-18,2024-02-16,1785886735892434650,6,2022-04-14T08:23:20.611Z
3035360332045804755,2021-06-23,2024-02-29,1785886735892434650,23,2021-06-03T20:38:25.51Z
-2470172651928132051,2022-01-20,2024-02-26,1785886735892434650,6,2021-07-07T13:19:25.718Z
2253221139024512498,2023-03-31,2024-01-30,7360698488401934039,3,2023-03-30T13:46:00.502Z
-8610807493299348685,2021-11-12,2024-02-26,1785886735892434650,13,2021-05-03T22:08:46.003Z
861497646074739662,2022-10-31,2024-02-26,-2265727047479868639,4,2022-09-21T14:51:23.49Z
-8802640663592052263,2022-07-11,2024-01-31,7360698488401934039,1,2022-07-11T16:16:28.993Z
-8800720733861339436,2023-01-05,2024-02-27,-3838867955087354797,28,2021-05-03T22:08:46.003Z
-3844922346781995381,2022-06-10,2024-02-28,1785886735892434650,1,2022-06-06T02:30:13.165Z
-8926592377937865735,2022-05-25,2024-02-27,-3838867955087354797,12,2021-05-03T22:08:46.003Z
-3259174055764467831,2022-05-26,2024-02-26,1785886735892434650,5,2022-05-13T14:22:47.249Z
-3955425572174949327,2022-09-22,2024-02-26,1785886735892434650,1,2022-09-19T15:34:33.616Z
-550492925332928635,2020-09-02,2024-03-01,1785886735892434650,8,2020-07-15T01:30:16.519Z
2986080920971486252,2021-10-11,2024-02-29,-1593885518572282485,7,2021-10-04T15:45:10.589Z
-3931125980809835770,2021-05-24,2024-02-22,8247619789285346046,14,2021-04-10T19:51:40.549Z
3870753095026652608,2022-06-21,2024-02-22,-3198132098019524354,48,2022-03-31T20:08:39.312Z
-5688447922896407773,2024-02-19,2024-02-26,3831768902884185520,6,2021-05-03T22:08:46.003Z
-1736663686327454777,2023-09-14,2024-03-01,3831768902884185520,1,2023-09-05T12:51:13.627Z
-5203309549063887852,2022-03-29,2024-02-29,1785886735892434650,6,2022-03-16T12:06:08.002Z
1851037630838117745,2022-09-02,2024-02-28,-3838867955087354797,28,2022-06-23T11:15:22.132Z
220065804337672617,2022-05-28,2024-02-26,1785886735892434650,1,2022-05-27T18:30:43.661Z
-2437879733628173022,2023-09-29,2024-02-29,1785886735892434650,1,2023-09-22T20:20:35.031Z
7753770003348098310,2021-06-28,2024-02-26,1785886735892434650,49,2021-06-21T19:38:57.995Z
8464827311561268963,2023-11-24,2024-02-26,-3838867955087354797,14,2023-11-22T20:36:24.537Z
2154040654266314141,2022-04-15,2024-02-27,-9216713850316786644,38,2022-01-20T06:40:52.454Z
3651405966385388625,2023-06-26,2024-03-01,1785886735892434650,5,2023-06-12T14:52:08.076Z
8881875927362584445,2021-07-16,2024-02-29,1785886735892434650,16,2021-06-11T15:29:22.07Z
-4305254506502897637,2023-10-16,2024-02-23,-6934767355204630553,2,2023-10-09T19:21:06.367Z
2334826867170650871,2022-09-27,2024-02-28,-1685079929578246776,92,2022-01-27T08:10:37.627Z
-4261246592285456887,2021-10-29,2024-02-29,1785886735892434650,27,2021-10-15T00:24:10.595Z
-7592580775083696150,2021-05-19,2024-03-01,1785886735892434650,29,2021-05-12T00:02:42.885Z
-8906817468990136266,2023-11-02,2024-02-27,1785886735892434650,74,2023-09-10T01:56:39.96Z
7299702662804191305,2022-01-26,2024-02-29,1785886735892434650,125,2021-12-23T01:02:25.396Z
3674659984064885430,2023-11-27,2024-02-20,7005892784696658186,7,2023-08-03T16:30:46.243Z
602626796588366326,2023-11-29,2023-11-29,8351829573223994696,13,2023-11-15T08:11:55.955Z
-6319399820763585000,2023-01-03,2024-03-01,-712515454498722369,34,2022-12-12T09:03:34.259Z
7746342814584821265,2019-09-04,2021-12-02,1785886735892434650,1,2019-04-01T21:37:12.042Z
1600220969400238163,2021-08-31,2024-02-27,-3654700706719393344,21,2021-07-22T15:55:54.986Z
7753026656794750813,2023-12-08,2024-03-01,1785886735892434650,9,2023-11-13T23:51:08.07Z
3798345697691176750,2022-03-30,2024-02-27,-3654700706719393344,21,2022-02-03T19:33:40.734Z
-6027000711878663086,2022-04-27,2024-02-27,-6934767355204630553,27,2021-10-22T08:23:02.538Z
-5454016900241391157,2023-08-18,2024-02-26,2912891528711707500,7,2023-07-26T07:42:56.583Z
8428700964296763920,2020-07-30,2024-03-01,-3654700706719393344,60,2020-07-01T17:25:52.212Z
-3279357737387109634,2024-01-20,2024-02-11,1785886735892434650,1,2024-01-18T01:42:15.364Z
594387567792202250,2023-07-28,2024-02-23,-6255655451702426059,8,2023-07-27T13:08:17.09Z
-6105725312502353220,2022-02-10,2024-03-01,1785886735892434650,19,2022-02-03T18:57:58.324Z
-1001508033216695904,2022-03-02,2024-03-01,-7818713552222454015,6,2022-01-19T05:37:01.332Z
-7899948579240312135,2023-10-04,2024-03-01,-3838867955087354797,1,2023-07-21T21:18:27.638Z
-15987507699819663,2020-09-28,2024-02-28,3831768902884185520,2,2020-06-29T15:18:16.372Z
-1715681882392170942,2021-11-05,2024-02-21,1785886735892434650,249,2021-10-21T19:18:07.147Z
-8801760995412267983,2022-05-27,2024-02-29,1785886735892434650,115,2022-05-15T02:06:10.505Z
-1093065647851794562,2021-10-24,2024-02-26,1785886735892434650,18,2021-02-28T01:51:07.842Z
-1321053026369076921,2023-02-11,2024-02-29,1785886735892434650,83,2023-01-04T23:54:55.937Z
-3434300571044940177,2022-03-22,2024-02-23,1785886735892434650,6,2022-03-21T19:31:16.233Z
-656203936625928598,2022-02-25,2024-03-01,1785886735892434650,11,2022-02-18T23:49:44.935Z
